Ingreso,"Título","Jurisdicción","Departamento"
2024/04/29,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/01/15,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/01/04,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","ROCHA"
2024/07/04,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","ROCHA"
2024/03/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/07/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/01/17,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RÍO NEGRO"
2024/07/18,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/01/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/01/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/12/30,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/01/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/03/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MONTEVIDEO"
2024/08/14,"ASOCIADO A VD","COMISARÍA 15","MONTEVIDEO"
2024/01/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/01/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TACUAREMBÓ"
2024/04/07,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/02/06,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/02/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/05/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","RIVERA"
2024/08/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","MONTEVIDEO"
2024/03/02,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","MONTEVIDEO"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","COLONIA"
2024/02/08,"ASOCIADO A VD","COMISARÍA 25","MONTEVIDEO"
2024/01/10,"ASOCIADO A VD","COMISARÍA 2","SALTO"
2024/10/18,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","TACUAREMBÓ"
2024/02/05,"ASOCIADO A VD","COMISARÍA 12","MONTEVIDEO"
2024/01/23,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/09/02,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/03/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","MONTEVIDEO"
2024/04/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MONTEVIDEO"
2024/06/13,"ASOCIADO A VD","COMISARÍA 5","MONTEVIDEO"
2024/05/02,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/02/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/09/22,"ASOCIADO A VD","COMISARÍA 27","CANELONES"
2024/03/24,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MALDONADO"
